Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Central African Republic,CAF,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,3563235579,3543578555,4479912201,5454962204,6456200016,6959129029,7083070777,8162785542,8923454841,8922065283,9731280814,10411408151,10901911781,11801326421,11712157364,10732654496,11567469044,11833542181,12724585776,13084098933,13703437916,16350166094,
Central Europe and the Baltics,CEB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,1138654453,1144399891,1445486400,1818800409,2535727894,3227397144,3691050153,4750516841,6522444804,5642098501,6416884309,7225401424,6701606755,8151917956,8465742261,7822826434,7682191154,8536982363,9459612919,9668027384,8860471010,10253237973,
Switzerland,CHE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,1737843933,1854315395,2699676685,2993367269,5203502755,7439742364,7014602811,9243987986,9827709893,13811220519,15842319321,21025131328,20900338400,21749231750,25190091712,23785075242,22156831582,24256654479,27065717637,26879306042,32210984690,33569798893,
Channel Islands,CHI,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,297470000,268598924,250600000,257124131,307300000,347500000,383708785,447500000,538619515,596536870,726289314,773559650,1072980132,1418818378,1614627539,1635419969,1730596607,1709057253,2034376888,1878506475,1511563046,1482251384,
China,CHN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,1280970000,1938000000,3114004041,3548126752,4496604796,5321253863,6634081020,8192067402,10319466356,11065271082,13039546459,14706108691,17748983437,21033078371,22613800782,22022366055,23979580208,28746479819,35782953953,34370466478,37870654560,46848669193,
Cote d'Ivoire,CIV,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,10319419,9564998,21998032,21246859,20431903,17445635,18450982,17200746,3891115,2894134,2564225,2713440,3091086,10023144,10699560,11428527,,
Cameroon,CMR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,4607664,1965326,572715,1714096,1934243,8216086,5231367,5710003,16177129,8024777,11608865,10879607,7360598,7843699,7999881,7019482,905736,4253983,2347497,1947037,2099252,12524892,
"Congo, Dem. Rep.",COD,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,2100000,1900000,1900000,2600000,34300000,0,0,0,20300000,10736427,0,0,0,0,0,0,0,
"Congo, Rep.",COG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,3764730,,,32059476,7277800,,
Colombia,COL,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,74072082,77274091,80104996,77372537,87676363,122467029,140808115,347620984,470855703,510385125,615031453,753789594,947980078,1282431219,1401046313,1345633688,1257276813,1275576188,1412618281,1334981000,1122727656,1359331534,
Comoros,COM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,0,0,0,0,0,0,0,0,0,0,,311737,775837,639722,423791,465764,522475,674544,2060442,
Cabo Verde,CPV,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,136219,193784,47776,256893,68001,2246,1289652,34422,0,343346,0,73922,110127,4795784,8051787,2401055,5757383,11338113,10027654,3695372,1357429,
Costa Rica,CRI,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,49833730,49021813,51154010,63871136,51358969,56875640,87482020,52944750,86390876,119400565,158855730,214778112,310560930,374402373,454698565,495827688,503368675,538240000,623646377,594092067,623796670,669563998,
Caribbean small states,CSS,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,96575752,87461324,96757441,73326423,77531999,72339941,92922873,139842023,137094955,136343459,112457443,189561817,207362529,244522016,223844636,229673951,209320773,186777179,183355407,161819484,135605605,155682824,
Cuba,CUB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,25569832,22229050,29363128,29184358,26212291,28167598,27905028,26674950,25626188,25047719,33489919,
Cayman Islands,CYM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,81139539,68007595,74328320,74938827,91108691,,
Cyprus,CYP,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,20725917,20199183,14987398,38640484,53379644,44655062,60437220,55607287,70969542,,,,127245098,,,,,232194732,,259717578,300267057,359414468,
Czechia,CZE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,81725598,92705740,119236203,175866290,173666458,503693935,551382616,694050966,859173451,842489141,945086547,1179217303,1042852406,1160503560,1343830327,1227305475,1193119443,1243172655,1492994404,1511179525,1390422197,1614062732,
Germany,DEU,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,4414303164,4317017245,3545971639,4116085265,4514202955,7208115338,7082602231,7499376291,8632835619,7008622136,7115326142,7405166332,6396891368,8696432170,10729008199,10117945574,11295106926,14364977912,16367799982,16664358266,16880351964,20894734268,
Djibouti,DJI,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,118519,107037,122963,64481,80211,113200,235233,612341,619141,435030,1242889,608970,594081,594081,586672,672686,674279,652482,1098511,1098511,1042035,1127605,
Denmark,DNK,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,887513471,948675334,885829978,1194906781,1379559872,1325847663,1412631900,1392512982,1735972102,1695330425,1530214735,1625778239,1488297357,1584730653,1528895648,1654793443,1650769810,
Dominican Republic,DOM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,29700000,22000000,29600000,30100000,30100000,30800000,31500000,31900000,50700000,53400000,67100000,71400000,59200000,63700000,81400000,88900000,98400000,134000000,34600000,41500000,81900000,119500000,
Algeria,DZA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,2000000,15000000,10547283,10163264,17088438,92466206,90367205,137274935,162112437,143997402,250010594,152897904,147268735,115089901,143098650,133392701,188009706,
East Asia & Pacific (excluding high income),EAP,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,2739242409,3676886338,5088691134,5883111398,8247013943,9603182714,10864942032,13150289085,15881208359,16400044101,19511730292,21709975236,25202087206,29319314013,30756881000,30015560095,31868887214,37574763748,45557074836,44635419096,46866797889,57484542823,
Early-demographic dividend,EAR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,3178367909,3298368519,4299084130,4815555203,6642063725,7470429573,8241174879,9266970482,9912191447,10224865420,11570025959,12810505480,14637116876,15433004599,16784928398,16606899394,17544463737,18706019522,19898005805,20517121088,18465953442,22091036570,
East Asia & Pacific,EAS,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,24079795019,24666966636,26434006600,30165354252,37938411910,42299013315,44932383358,49952582717,58979206784,59274292294,70782363162,76032511349,84206845726,87129473192,90186146121,82916693663,83510066392,91084736631,1.02E+11,1.03E+11,1.07E+11,1.21E+11,
Europe & Central Asia (excluding high income),ECA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,952925772,693870894,629544328,1241422421,1781148974,2554570651,3123467345,4354820260,6512087713,5784537814,6981590706,7887146839,9913813261,11901144929,11188467704,8406185761,8032647415,9048007294,10188643241,10935008442,11010229872,12130838089,
Europe & Central Asia,ECS,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,27544276458,26874260938,30134442202,35764004595,63369992318,94360538237,1.01E+11,1.15E+11,1.44E+11,1.37E+11,1.44E+11,1.62E+11,1.56E+11,1.75E+11,2.10E+11,2.45E+11,2.14E+11,2.31E+11,2.54E+11,2.62E+11,2.68E+11,3.00E+11,
Ecuador,ECU,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,62000000,52000000,43857143,43073980,43455357,42857302,44243379,45289183,46993143,47457318,54051146,65761531,90468876,125980954,110557408,72456489,63080134,91245029,180748000,138706508,139640396,213981045,
"Egypt, Arab Rep.",EGY,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,401000000,360900000,171100000,165000000,108100000,182000000,159200000,240600000,321600000,284500000,226000000,231600000,344700000,327500000,241500000,213800000,187700000,254500000,298000000,294000000,297000000,343000000,
Euro area,EMU,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,15280876061,15026665229,16117711783,19481104130,42496903179,68104548879,73694918594,84858498013,1.08E+11,99842301927,1.03E+11,1.11E+11,1.05E+11,1.20E+11,1.49E+11,1.88E+11,1.61E+11,1.71E+11,1.88E+11,1.91E+11,1.91E+11,2.15E+11,
Eritrea,ERI,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,281121,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,4514279640,4474717118,4520612371,4987966185,5065245409,6644636046,6838705335,5122068572,5917230506,
Estonia,EST,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,7909801,11232525,14113255,,,,,,49797158,45861419,60041345,74447963,61274606,49014654,61551392,43591116,51669819,62014804,66881560,63213682,56938619,78261755,
Ethiopia,ETH,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,316615,101147,396118,88288,450079,575608,844549,2070546,1728786,2826017,993167,2983180,2458491,538888,2190855,3838616,1115302,9802538,26729371,3025656,2325743,7417441,
European Union,EUU,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,17283500054,16908937546,18315587504,22376967114,46306353464,73598226732,79847269317,92160471958,1.17E+11,1.08E+11,1.11E+11,1.21E+11,1.15E+11,1.32E+11,1.62E+11,2.00E+11,1.73E+11,1.85E+11,2.02E+11,2.08E+11,2.09E+11,2.37E+11,
Fragile and conflict affected situations,FCS,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,854086771,446336589,326462929,538511184,504886796,805315271,813283122,1259412482,1351890090,1299770008,1433458182,1447983247,1455463901,1846987961,1612088422,1373817221,1385084382,801567883,969973446,985913247,790081566,1038328353,
Finland,FIN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,565058184,533700642,605924790,616276302,800565236,1122659918,,,2253386655,1477245036,1508665558,1576638925,1774389256,1917947814,1178587922,832316827,876927845,1022698642,1066485645,1000220941,1209456424,1108189665,
Fiji,FJI,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,717136,481481,1460300,1002152,751639,1182294,981659,1626870,2448441,1344027,886338,2358319,2569654,2337085,3169561,3916729,5975267,8092808,6688794,6344078,6117036,2276713,
France,FRA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,4416719402,4095839453,4547619885,5154463499,5800016169,6182912479,7028743115,7672468333,10435073227,8387238481,10014878126,10545784932,8754182545,11054534501,12764952188,15660393096,14758389447,15849154072,14350603897,12396256258,12505733388,13127793210,
Faroe Islands,FRO,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,2640000,3090000,2990000,3150000,4244159,3073553,3695374,8655538,9562965,8969394,7676053,9076742,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,7147868031,7106653490,8194613068,8794302536,9692330342,10536918308,10709233287,9189715166,11454256329,10473073186,10850107600,12192693732,10576676645,9634649293,11675819527,12279694753,11375283178,12336313372,14572553139,16495847278,15743194165,18417619609,
Georgia,GEO,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,7144249,6753653,10685440,10601494,5671521,5320755,5023551,4871460,8403514,8559177,7404609,7956804,7590402,13438272,19348329,6985876,19491613,24691784,27053208,40652756,54890644,61629500,
Ghana,GHA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,0,0,,,,,,,,44881240,189994769,156694905,237098204,
Gibraltar,GIB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0,1026510,760000,873050,210000,870000,210000,30000,420000,180000,1200000,770000,620000,,,,,,,,,0,
"Gambia, The",GMB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,0,67433,0,3786,0,0,,,,,,,,,2367,,,0,,,,
Equatorial Guinea,GNQ,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,202864433,225068411,287639250,334838120,466062589,441508053,406104697,600153526,713441168,654722897,626946377,556622104,370769831,322272259,445973221,290739288,246662484,347582002,382963980,321456877,320133708,351027037,
Grenada,GRD,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,607407,674074,444444,570370,788889,885204,2366511,2533894,3024591,3492195,5502012,5615736,6213040,6465571,8207337,9366088,9945231,8783541,12214406,13662922,11166961,11996724,
Greenland,GRL,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,0,0,0,39900000,49400000,60200000,72100000,71710050,85633650,88639330,89808790,93742530,104190630,134841560,153058570,170383790,194885240,209674630,241960110,259562200,315762140,
Guam,GUM,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,10800000,5400000,21600000,17600000,18522000,19448000,20421000,21442000,22513607,22963879,28015932,34179437,41698914,65990000,23943000,18244000,13827630,9405354,5260000,3677280,2426130,2985673,
High income,HIC,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,68390843646,67745901227,75133799951,83720080186,1.21E+11,1.57E+11,1.63E+11,1.82E+11,2.20E+11,2.16E+11,2.32E+11,2.55E+11,2.54E+11,2.71E+11,3.11E+11,3.39E+11,3.15E+11,3.37E+11,3.60E+11,3.70E+11,3.83E+11,4.16E+11,
"Hong Kong SAR, China",HKG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,461122759,491103104,695994667,864428602,1111347424,1288812729,1357493082,1504417242,1610465042,1699752586,1978131461,2009279637,2018574965,2027166770,1938286852,1860613528,1882822751,1924781218,1993170615,1979477323,1759723742,,
Honduras,HND,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,13800000,15700000,15400000,19117000,19444940,20910350,26751869,27747055,25381640,25680000,30380000,35154665,38670131,85312366,75110956,59033073,66573650,109405528,115060499,84546358,62388066,93915339,
Heavily indebted poor countries (HIPC),HPC,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,58108195,47186312,82019245,68144522,89413371,113142262,130050121,185581832,184045605,211449781,197265163,206120809,210163454,319009966,259492529,248833396,254852388,306499933,377605286,529988992,410864798,502621071,
Croatia,HRV,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,60522821,62512939,77182624,130643616,145414970,192496177,174577804,213320601,258616774,212636457,224741363,262289983,307359864,281192019,275975836,267800175,269102709,307566946,311309986,328799390,312130451,376123555,
Haiti,HTI,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0,0,900000,400000,370000,400000,500000,400000,400000,400000,480000,520000,1640000,1586440,2163920,1642260,0,0,0,0,0,0,
Hungary,HUN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,258734878,269492895,416530257,463929315,1053803576,1107702919,1169130363,1752222005,2596029138,1981316302,1799363441,2034865903,1701009788,1966063664,1701540946,2006472537,1446684698,1597954988,1628927748,1701673073,1408457720,1542992757,
IBRD only,IBD,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,8646740385,9235433823,11573698330,13618638982,16964175573,20677629111,23669944788,29003055295,34996466869,34718673271,41823765489,47032961387,55384429948,63486360743,66733564311,62064753925,64017223825,72947446573,83874209349,83519471675,82085142801,98221076641,
IDA & IBRD total,IBT,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,8828076760,9379964434,11728614918,13833249746,17213625624,21040195776,24065862311,29535403771,35577881601,35308484065,42499161317,47669723756,56133503964,64350339517,67911504158,63209805004,65357915311,74021132172,84982898005,84804990307,83259534261,99524316012,
IDA total,IDA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,181336376,144530612,154916588,214610764,249450051,362566664,395917523,532348477,581414732,589810794,675395828,636762369,749074015,863978774,1177939848,1145051078,1340691486,1073685599,1108688657,1285518632,1174391460,1303239371,
IDA blend,IDB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,113470722,86411852,65700675,131161141,142905036,227109541,223443849,322551461,367225484,346795933,429732664,419742487,543117912,545280336,620572598,653689614,670628533,761538666,672078910,734420589,671019214,684093559,
Indonesia,IDN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,990320000,960870000,872228637,1085450000,1327681814,1530107289,1616459043,1787966703,1800089222,1736373354,1861866472,1652686736,1732362913,1900641453,1470072410,1804721423,1530064502,1785812500,
